img,idx_label,RGB.redDN,RGB.greenDN,RGB.blueDN,RGB.2G_RBi,RGB.pctR,RGB.pctG,RGB.pctB,RGB.nNDVI,RGB.totalRGB,RGB.AnyColor
2022 06 09 14 54 44.JPG,  1,152.934040,138.316075,70.469834,53.228276,0.422797,0.382384,0.194819,-0.050190,361.719948,-150.310448
2022 06 09 15 54 44.JPG,  2,149.188234,136.186999,65.152684,58.033081,0.425610,0.388520,0.185870,-0.045558,350.527917,-155.069866
2022 06 09 16 54 45.JPG,  3,155.830937,143.703271,65.390047,66.185558,0.427023,0.393789,0.179188,-0.040488,364.924256,-168.754114
2022 06 09 17 54 44.JPG,  4,168.264944,163.013133,77.146456,80.614866,0.411985,0.399127,0.188888,-0.015853,408.424534,-176.985165
2022 06 09 18 54 44.JPG,  5,166.904999,157.800742,84.292551,64.403934,0.408082,0.385822,0.206095,-0.028038,408.998291,-156.120640
2022 06 10 05 00 00.JPG,  6,156.684650,149.669865,93.860771,48.794308,0.391501,0.373973,0.234526,-0.022898,400.215285,-118.632972
2022 06 10 06 00 00.JPG,  7,158.255762,151.303846,93.708178,50.643752,0.392433,0.375194,0.232372,-0.022457,403.267785,-122.143252
2022 06 10 07 00 01.JPG,  8,161.551026,150.723594,94.321617,45.574546,0.397325,0.370696,0.231979,-0.034673,406.596237,-123.631387
2022 06 10 08 00 00.JPG,  9,165.541204,151.001563,91.992474,44.469447,0.405207,0.369617,0.225176,-0.045933,408.535241,-132.557818
2022 06 10 09 00 00.JPG, 10,172.832998,154.162483,83.390717,52.101251,0.421147,0.375652,0.203201,-0.057097,410.386198,-160.214047
2022 06 10 10 00 01.JPG, 11,179.441247,157.946451,89.612385,46.839270,0.420237,0.369898,0.209865,-0.063709,427.000083,-158.162928
2022 06 10 11 00 00.JPG, 12,177.236594,154.653726,81.942181,50.128677,0.428281,0.373711,0.198008,-0.068043,413.832501,-168.005958
2022 06 10 12 00 00.JPG, 13,180.297180,155.408929,82.707343,47.813335,0.430907,0.371424,0.197669,-0.074137,418.413451,-170.291422
2022 06 10 13 00 01.JPG, 14,180.509786,154.425753,81.409293,46.932428,0.433558,0.370908,0.195533,-0.077878,416.344833,-172.116954
2022 06 10 14 00 00.JPG, 15,182.529875,155.952045,81.991869,47.382346,0.434105,0.370896,0.194999,-0.078521,420.473789,-174.498183
2022 06 10 15 00 00.JPG, 16,184.375191,155.758659,85.472683,41.669444,0.433206,0.365969,0.200826,-0.084133,425.606534,-169.188484
2022 06 10 16 00 01.JPG, 17,181.927873,155.470185,84.935785,44.076713,0.430768,0.368122,0.201111,-0.078417,422.333843,-167.526488
2022 06 10 17 00 00.JPG, 18,182.318611,154.593891,82.805531,44.063640,0.434384,0.368328,0.197288,-0.082291,419.718033,-171.301441
2022 06 10 18 00 00.JPG, 19,182.250174,155.220010,78.442197,49.747649,0.438194,0.373204,0.188603,-0.080096,415.912381,-180.585791
2022 06 11 05 00 00.JPG, 20,216.571065,202.727541,110.090590,78.793427,0.409096,0.382946,0.207958,-0.033016,529.389196,-199.117426
2022 06 11 06 00 00.JPG, 21,192.671903,179.488678,98.268475,68.036978,0.409566,0.381542,0.208891,-0.035423,470.429056,-175.623631
2022 06 11 07 00 01.JPG, 22,178.244242,160.597861,96.886690,46.064790,0.409072,0.368573,0.222355,-0.052078,435.728794,-145.068723
2022 06 11 08 00 00.JPG, 23,189.998947,171.850174,96.322970,57.378431,0.414689,0.375078,0.210233,-0.050156,458.172092,-169.203181
2022 06 11 09 00 00.JPG, 24,187.749259,167.652036,93.869582,53.685230,0.417898,0.373165,0.208938,-0.056548,449.270876,-167.662130
2022 06 11 10 00 01.JPG, 25,167.263493,152.106945,93.213942,43.736456,0.405404,0.368669,0.225927,-0.047458,412.584380,-132.942555
2022 06 11 11 00 00.JPG, 26,165.526542,145.092622,83.759205,40.899498,0.419715,0.367902,0.212383,-0.065784,394.378369,-143.100754
2022 06 11 12 00 00.JPG, 27,158.242997,135.218388,72.500108,39.693670,0.432403,0.369488,0.198109,-0.078459,365.961492,-148.461167
2022 06 11 13 00 01.JPG, 28,147.486344,128.693417,66.401596,43.498895,0.430515,0.375658,0.193827,-0.068046,342.581357,-143.376569
2022 06 11 14 00 00.JPG, 29,164.709856,151.697559,90.762977,47.922284,0.404523,0.372565,0.222912,-0.041125,407.170392,-134.881460
2022 06 11 15 00 01.JPG, 30,162.896336,150.073935,89.018208,48.233326,0.405226,0.373329,0.221445,-0.040970,401.988479,-134.933856
2022 06 11 16 00 00.JPG, 31,166.088409,153.569120,90.920367,50.129463,0.404524,0.374032,0.221445,-0.039165,410.577896,-137.816795
