img,idx_label,RGB.ROI_02.redDN,RGB.ROI_02.greenDN,RGB.ROI_02.blueDN,RGB.ROI_02.2G_RBi,RGB.ROI_02.pctR,RGB.ROI_02.pctG,RGB.ROI_02.pctB,RGB.ROI_02.nNDVI,RGB.ROI_02.totalRGB,RGB.ROI_02.AnyColor,RGB.ROI_06.redDN,RGB.ROI_06.greenDN,RGB.ROI_06.blueDN,RGB.ROI_06.2G_RBi,RGB.ROI_06.pctR,RGB.ROI_06.pctG,RGB.ROI_06.pctB,RGB.ROI_06.nNDVI,RGB.ROI_06.totalRGB,RGB.ROI_06.AnyColor,RGB.ROI_09.redDN,RGB.ROI_09.greenDN,RGB.ROI_09.blueDN,RGB.ROI_09.2G_RBi,RGB.ROI_09.pctR,RGB.ROI_09.pctG,RGB.ROI_09.pctB,RGB.ROI_09.nNDVI,RGB.ROI_09.totalRGB,RGB.ROI_09.AnyColor
2022 06 15 10 12 12.JPG,   1,166.882357,142.615453,91.136922,27.211626,0.416545,0.355974,0.227481,-0.078407,400.634732,-127.223966,162.499642,143.029809,88.477164,35.082812,0.412429,0.363014,0.224558,-0.063725,394.006615,-128.575124,117.403586,97.898676,57.663140,20.730627,0.430104,0.358649,0.211247,-0.090593,272.965402,-99.975982
2022 06 15 11 12 12.JPG,   2,166.193504,146.074768,98.630104,27.325929,0.404464,0.355501,0.240035,-0.064428,410.898376,-115.008064,161.160307,146.351872,94.882760,36.660678,0.400503,0.363702,0.235795,-0.048156,402.394939,-117.746659,148.128600,125.018675,77.152858,24.755891,0.422862,0.356890,0.220248,-0.084606,350.300133,-118.841559
2022 06 15 12 12 12.JPG,   3,163.000994,142.803366,96.827568,25.778169,0.404839,0.354675,0.240487,-0.066048,402.631928,-112.149224,161.345080,145.202483,93.673287,35.386598,0.403140,0.362806,0.234054,-0.052659,400.220850,-119.200988,140.263128,117.614060,72.640644,22.324348,0.424374,0.355848,0.219778,-0.087829,330.517831,-112.595899
2022 06 15 13 12 13.JPG,   4,162.163388,154.120712,114.961354,31.116682,0.376035,0.357385,0.266580,-0.025429,431.245455,-86.361392,157.335362,155.579531,110.875922,42.947779,0.371257,0.367114,0.261629,-0.005611,423.790815,-91.163048,141.754879,131.407488,90.967851,30.092246,0.389297,0.360880,0.249822,-0.037880,364.130218,-91.226664
2022 06 15 14 12 12.JPG,   5,176.218197,155.426640,107.777447,26.857637,0.401022,0.353707,0.245271,-0.062692,439.422284,-116.089942,178.068005,160.814219,104.593518,38.966914,0.401528,0.362622,0.235849,-0.050914,443.475742,-129.695186,143.899467,122.477486,76.763198,24.292306,0.419361,0.356931,0.223708,-0.080420,343.140151,-112.850556
2022 06 15 15 12 12.JPG,   6,171.013263,151.234813,104.561473,26.894890,0.400678,0.354338,0.244984,-0.061376,426.809549,-113.125130,175.451030,158.994039,102.153135,40.383912,0.401859,0.364166,0.233975,-0.049207,436.598204,-130.138798,131.362095,114.055793,72.220151,24.529339,0.413559,0.359075,0.227366,-0.070518,317.638038,-100.977585
2022 06 15 16 12 12.JPG,   7,170.361208,151.470091,104.292563,28.286412,0.399793,0.355460,0.244747,-0.058699,426.123862,-113.246173,178.921618,163.101102,103.382615,43.897970,0.401705,0.366186,0.232109,-0.046256,445.405336,-135.257490,127.068166,112.926081,73.100946,25.683051,0.405845,0.360677,0.233478,-0.058927,313.095193,-93.792355
2022 06 15 17 12 12.JPG,   8,150.596853,140.524626,100.160242,30.292156,0.384881,0.359139,0.255980,-0.034598,391.281721,-90.800993,186.066102,169.363086,105.670461,46.989608,0.403527,0.367303,0.229171,-0.046994,461.099649,-144.088266,137.172735,122.430924,78.307089,29.382024,0.405944,0.362317,0.231739,-0.056786,337.910748,-102.989481
2022 06 15 18 12 13.JPG,   9,162.077191,149.429773,105.710806,31.071549,0.388471,0.358158,0.253371,-0.040601,417.217770,-100.085351,181.290254,166.492035,105.154202,46.539614,0.400255,0.367584,0.232161,-0.042550,452.936491,-137.473886,149.118260,134.041667,86.287769,32.677305,0.403625,0.362816,0.233559,-0.053244,369.447696,-110.584390
2022 06 16 05 00 01.JPG,  10,172.930500,151.335354,107.179058,22.561151,0.400817,0.350764,0.248419,-0.066597,431.444912,-109.907738,161.462918,148.089796,102.316755,32.399920,0.392024,0.359555,0.248420,-0.043201,411.869470,-104.919204,164.331943,141.280832,93.408934,24.820788,0.411837,0.354068,0.234095,-0.075426,399.021709,-118.794907
2022 06 16 06 00 00.JPG,  11,198.262447,171.938901,103.866877,41.748478,0.418215,0.362688,0.219097,-0.071106,474.068225,-162.467594,154.420043,138.069726,88.904775,32.814635,0.404883,0.362013,0.233104,-0.055900,381.394544,-114.680220,181.065133,151.261747,89.191519,32.266842,0.429555,0.358850,0.211596,-0.089681,421.518399,-153.943842
2022 06 16 07 00 01.JPG,  12,189.608561,177.786704,122.511099,43.453747,0.387030,0.362899,0.250070,-0.032177,489.906364,-122.373067,164.083480,160.163639,113.330433,42.913365,0.374981,0.366023,0.258995,-0.012089,437.577552,-97.586253,136.718812,131.818646,96.097121,30.821360,0.374947,0.361509,0.263544,-0.018248,364.634579,-76.343216
2022 06 16 08 00 00.JPG,  13,174.870493,157.316864,108.855546,30.907689,0.396493,0.356693,0.246814,-0.052843,441.042904,-114.476265,163.761543,153.370904,102.756241,40.224025,0.390012,0.365266,0.244723,-0.032764,419.888689,-111.619965,166.284420,145.050932,93.260023,30.557422,0.410989,0.358509,0.230502,-0.068201,404.595375,-124.815306
2022 06 16 09 00 00.JPG,  14,165.042848,145.056382,91.903840,33.166076,0.410551,0.360834,0.228615,-0.064452,402.003070,-126.291550,156.062630,140.542951,84.129735,40.893537,0.409898,0.369136,0.220966,-0.052324,380.735315,-128.346111,156.128705,131.327807,75.965943,30.560967,0.429607,0.361364,0.209029,-0.086277,363.422454,-135.524626
2022 06 16 10 00 01.JPG,  15,162.898890,143.645635,95.294999,29.097380,0.405383,0.357470,0.237147,-0.062807,401.839524,-115.954526,157.242315,142.974417,89.621047,39.085472,0.403353,0.366754,0.229893,-0.047525,389.837780,-120.974638,150.986320,127.804796,76.682410,27.940863,0.424747,0.359534,0.215719,-0.083150,355.473525,-125.426297
2022 06 16 11 00 00.JPG,  16,166.244601,147.713680,100.227831,28.954927,0.401377,0.356636,0.241987,-0.059024,414.186112,-113.502619,161.064268,147.174036,95.060310,38.223493,0.399367,0.364926,0.235707,-0.045063,403.298614,-118.117683,145.962866,124.685227,77.231630,26.175958,0.419579,0.358415,0.222007,-0.078617,347.879722,-116.184833
2022 06 16 12 00 00.JPG,  17,167.520903,152.572367,108.298370,29.325462,0.391046,0.356152,0.252802,-0.046701,428.391640,-103.496530,164.870998,154.197999,103.769593,39.755407,0.389915,0.364673,0.245412,-0.033450,422.838591,-111.529811,144.173671,125.979608,81.160447,26.625097,0.410384,0.358596,0.231020,-0.067347,351.313725,-107.832384
2022 06 16 13 00 01.JPG,  18,161.599770,141.636421,95.103280,26.569792,0.405684,0.355567,0.238749,-0.065834,398.339471,-113.029631,161.748390,145.507347,91.506516,37.759788,0.405626,0.364897,0.229476,-0.052858,398.762253,-124.242705,135.744830,113.048467,67.469902,22.882202,0.429215,0.357451,0.213335,-0.091226,316.263199,-113.853492
2022 06 16 14 00 00.JPG,  19,173.014441,156.488113,111.613487,28.348298,0.392220,0.354755,0.253025,-0.050155,441.116041,-106.275579,171.130751,159.647634,107.670897,40.493620,0.390309,0.364119,0.245572,-0.034715,438.449282,-115.436591,158.272666,138.183436,90.159203,27.935003,0.409380,0.357418,0.233201,-0.067765,386.615305,-116.137696
2022 06 16 15 00 00.JPG,  20,178.871514,160.405133,112.015893,29.922859,0.396354,0.355435,0.248211,-0.054429,451.292541,-115.244861,186.057207,170.164360,108.526181,45.745331,0.400340,0.366143,0.233516,-0.044615,464.747748,-139.169205,138.735505,117.394492,71.648594,24.404886,0.423260,0.358152,0.218588,-0.083321,327.778592,-112.832809
2022 06 16 16 00 01.JPG,  21,158.889900,150.195749,110.695180,30.806418,0.378507,0.357796,0.263698,-0.028129,419.780829,-87.695290,167.054564,161.143277,109.796957,45.435033,0.381408,0.367911,0.250681,-0.018011,437.994798,-108.603927,122.171375,113.205112,77.040075,27.198773,0.391053,0.362353,0.246594,-0.038093,312.416561,-81.296336
2022 06 16 17 00 00.JPG,  22,154.010138,147.936327,113.136614,28.725902,0.371034,0.356402,0.272564,-0.020116,415.083078,-75.673236,160.337358,157.350022,111.542620,42.820066,0.373546,0.366587,0.259867,-0.009403,429.229999,-94.602141,133.550051,125.743226,89.683592,28.252809,0.382690,0.360320,0.256990,-0.030108,348.976869,-79.926093
2022 06 16 18 00 00.JPG,  23,149.797869,149.346425,119.992965,28.902016,0.357396,0.356319,0.286286,-0.001509,419.137260,-59.158363,158.326878,160.683736,119.791273,43.249322,0.360816,0.366187,0.272996,0.007388,438.801887,-79.428069,140.583136,135.051795,101.473031,28.047423,0.372793,0.358125,0.269082,-0.020068,377.107963,-72.688869
