img,idx_label,RGB.ROI_20.redDN,RGB.ROI_20.greenDN,RGB.ROI_20.blueDN,RGB.ROI_20.2G_RBi,RGB.ROI_20.pctR,RGB.ROI_20.pctG,RGB.ROI_20.pctB,RGB.ROI_20.nNDVI,RGB.ROI_20.totalRGB,RGB.ROI_20.AnyColor,RGB.ROI_22.redDN,RGB.ROI_22.greenDN,RGB.ROI_22.blueDN,RGB.ROI_22.2G_RBi,RGB.ROI_22.pctR,RGB.ROI_22.pctG,RGB.ROI_22.pctB,RGB.ROI_22.nNDVI,RGB.ROI_22.totalRGB,RGB.ROI_22.AnyColor
2022 06 22 11 18 44.JPG, 182,183.949378,160.617982,116.186733,21.099854,0.399235,0.348598,0.252166,-0.067712,460.754094,-112.193895,179.981565,154.198071,110.015605,18.398972,0.405186,0.347140,0.247674,-0.077155,444.195240,-114.148426
2022 06 22 11 27 57.JPG, 183,176.874480,154.740657,112.618675,19.988159,0.398156,0.348332,0.253512,-0.066746,444.233812,-106.377786,178.262129,154.223206,110.244150,19.940134,0.402643,0.348346,0.249010,-0.072301,442.729485,-111.997036
2022 06 22 12 27 57.JPG, 184,184.241925,159.723556,117.303379,17.901809,0.399424,0.346270,0.254306,-0.071281,461.268860,-109.358722,184.170542,157.987300,112.453581,19.350476,0.405116,0.347522,0.247362,-0.076524,454.611423,-117.250679
2022 06 22 13 27 57.JPG, 185,186.923439,163.984541,122.134896,18.910746,0.395151,0.346659,0.258190,-0.065370,473.042877,-106.638188,183.529532,159.346453,115.672419,19.490955,0.400240,0.347502,0.252258,-0.070530,458.548404,-111.531148
2022 06 22 14 27 58.JPG, 186,184.246028,163.180289,123.422813,18.691738,0.391306,0.346566,0.262128,-0.060634,470.849130,-100.580692,183.136470,160.769203,117.973089,20.428847,0.396503,0.348077,0.255420,-0.065039,461.878762,-107.959495
2022 06 22 15 27 57.JPG, 187,181.781144,161.364325,122.651929,18.295577,0.390258,0.346426,0.263316,-0.059499,465.797398,-97.841611,181.815380,160.048959,118.207609,20.074929,0.395189,0.347878,0.256933,-0.063670,460.071948,-105.449122
2022 06 22 16 27 58.JPG, 188,171.164502,146.535286,100.414299,21.491770,0.409373,0.350467,0.240160,-0.077524,418.114087,-116.871190,182.948724,157.547128,104.396883,27.748648,0.411220,0.354124,0.234656,-0.074602,444.892735,-131.702087
2022 06 22 17 27 57.JPG, 189,178.515415,158.131153,118.462145,19.284747,0.392248,0.347458,0.260294,-0.060551,455.108713,-99.722278,177.400996,156.564187,114.323314,21.404063,0.395730,0.349249,0.255022,-0.062392,448.288497,-105.318555
2022 06 22 18 27 57.JPG, 190,188.451600,161.003323,107.139968,26.415079,0.412733,0.352617,0.234650,-0.078546,456.594891,-135.174987,176.017327,151.057197,98.216764,27.880304,0.413875,0.355185,0.230940,-0.076313,425.291287,-130.640996
2022 06 23 05 00 00.JPG, 191,185.024474,171.103450,146.407367,10.775059,0.368182,0.340480,0.291337,-0.039090,502.535291,-63.313191,186.777449,166.396544,129.191276,16.824363,0.387212,0.344960,0.267829,-0.057708,482.365269,-94.791441
2022 06 23 06 00 00.JPG, 192,197.959263,165.499851,125.556301,7.484138,0.404812,0.338435,0.256753,-0.089307,489.015415,-112.346513,197.516890,159.818037,109.211867,12.907317,0.423359,0.342555,0.234086,-0.105500,466.546795,-138.911193
2022 06 23 07 00 01.JPG, 193,198.266659,166.576161,124.843569,10.042094,0.404885,0.340169,0.254946,-0.086861,489.686389,-115.155682,194.115531,158.378739,109.029518,13.612428,0.420597,0.343165,0.236238,-0.101383,461.523789,-134.435234
2022 06 23 08 00 00.JPG, 194,196.129159,162.770135,120.417674,8.993438,0.409185,0.339588,0.251228,-0.092948,479.316967,-118.063947,193.284599,157.405744,108.645722,12.881166,0.420791,0.342681,0.236528,-0.102309,459.336065,-133.398898
2022 06 23 09 00 00.JPG, 195,192.192520,162.971016,123.362100,10.387412,0.401635,0.340569,0.257796,-0.082276,478.525636,-108.439336,189.460792,158.707650,114.031421,13.923087,0.409911,0.343375,0.246715,-0.088328,462.199863,-120.105601
2022 06 23 10 00 01.JPG, 196,188.621758,163.382210,123.576067,14.566595,0.396614,0.343543,0.259843,-0.071702,475.580035,-104.851835,184.338433,157.746359,115.372463,15.781822,0.402963,0.344833,0.252204,-0.077735,457.457255,-111.339865
2022 06 23 11 00 00.JPG, 197,187.329188,161.102738,120.377438,14.498849,0.399585,0.343642,0.256773,-0.075270,468.809364,-107.677049,187.720759,159.687109,114.644921,17.008539,0.406276,0.345604,0.248121,-0.080694,462.052789,-118.118027
2022 06 23 12 00 00.JPG, 198,184.647995,160.320553,115.881060,20.112051,0.400669,0.347880,0.251451,-0.070521,460.849608,-113.206427,181.621063,156.031236,106.117463,24.323946,0.409269,0.351604,0.239127,-0.075788,443.769763,-125.417373
2022 06 23 13 00 01.JPG, 199,183.088203,159.153912,112.730731,22.488890,0.402416,0.349810,0.247775,-0.069934,454.972846,-116.780653,186.259957,161.376855,108.410287,28.083467,0.408423,0.353860,0.237717,-0.071578,456.047099,-130.816237
2022 06 23 14 00 00.JPG, 200,171.808090,152.984422,118.309052,15.851703,0.387740,0.345258,0.267002,-0.057956,443.101564,-88.174409,179.661697,157.985569,116.051891,20.257549,0.395993,0.348217,0.255790,-0.064198,453.699157,-105.543483
