img,idx_label,RGB.ROI_24.redDN,RGB.ROI_24.greenDN,RGB.ROI_24.blueDN,RGB.ROI_24.2G_RBi,RGB.ROI_24.pctR,RGB.ROI_24.pctG,RGB.ROI_24.pctB,RGB.ROI_24.nNDVI,RGB.ROI_24.totalRGB,RGB.ROI_24.AnyColor
2022 06 09 14 58 49.JPG,   1,175.024590,144.237200,108.534177,4.915634,0.409131,0.337164,0.253705,-0.096433,427.795968,-102.193435
2022 06 09 15 58 48.JPG,   2,200.287680,174.194293,144.214797,3.886109,0.386136,0.335831,0.278033,-0.069679,518.696770,-86.052379
2022 06 09 16 58 49.JPG,   3,192.106449,160.012306,118.183196,9.734966,0.408475,0.340233,0.251292,-0.091146,470.301951,-115.752362
2022 06 09 17 58 48.JPG,   4,196.912153,163.262811,118.428830,11.184639,0.411430,0.341123,0.247446,-0.093425,478.603794,-123.317305
2022 06 09 18 58 48.JPG,   5,193.559264,156.156190,105.910526,12.842591,0.424821,0.342729,0.232451,-0.106953,455.625980,-137.894401
2022 06 10 05 00 00.JPG,   6,190.482755,160.856562,135.368478,-4.138110,0.391370,0.330499,0.278131,-0.084324,486.707795,-80.602361
2022 06 10 06 00 01.JPG,   7,188.407091,160.836436,134.881279,-1.615497,0.389170,0.332221,0.278608,-0.078944,484.124806,-79.480969
2022 06 10 07 00 00.JPG,   8,191.958527,160.510492,131.345466,-2.283009,0.396761,0.331760,0.271479,-0.089222,483.814485,-89.778088
2022 06 10 08 00 00.JPG,   9,195.341339,161.633061,131.848298,-3.923515,0.399616,0.330658,0.269726,-0.094428,488.822698,-93.277804
2022 06 10 09 00 01.JPG,  10,200.905454,160.205935,125.055679,-5.549263,0.413244,0.329529,0.257228,-0.112706,486.167067,-111.000031
2022 06 10 10 00 00.JPG,  11,204.336304,159.289430,120.724350,-6.481794,0.421877,0.328873,0.249250,-0.123883,484.350085,-122.177034
2022 06 10 11 00 00.JPG,  12,205.823858,158.459245,117.842247,-6.747616,0.426909,0.328668,0.244422,-0.130021,482.125350,-128.598608
2022 06 10 12 00 00.JPG,  13,205.391616,156.355156,119.307562,-11.988866,0.426961,0.325026,0.248013,-0.135555,481.054334,-123.131649
2022 06 10 13 00 00.JPG,  14,206.806510,156.266168,118.610603,-12.884777,0.429341,0.324417,0.246242,-0.139202,481.683281,-125.851472
2022 06 10 14 00 01.JPG,  15,207.766198,155.550370,117.825606,-14.491064,0.431819,0.323294,0.244887,-0.143720,481.142174,-127.665357
2022 06 10 15 00 00.JPG,  16,206.831399,154.586069,118.559280,-16.218541,0.430920,0.322070,0.247010,-0.144557,479.976749,-124.298908
2022 06 10 16 00 00.JPG,  17,207.659210,156.043314,115.780732,-11.353315,0.433090,0.325441,0.241470,-0.141918,479.483256,-132.141059
2022 06 10 17 00 00.JPG,  18,207.124947,154.260589,117.203455,-15.807223,0.432783,0.322324,0.244894,-0.146282,478.588991,-126.978626
2022 06 10 18 00 00.JPG,  19,209.712532,155.644880,117.425611,-15.848383,0.434383,0.322391,0.243226,-0.147986,482.783023,-130.506191
2022 06 11 05 00 01.JPG,  20,190.651661,172.974464,161.811561,-6.514294,0.362844,0.329201,0.307956,-0.048614,525.437687,-40.003004
2022 06 11 06 00 00.JPG,  21,204.606038,183.840564,161.501537,1.573553,0.372046,0.334287,0.293667,-0.053458,549.948138,-65.443528
2022 06 11 07 00 00.JPG,  22,196.523059,163.575210,140.415754,-9.788394,0.392642,0.326814,0.280543,-0.091497,500.514023,-79.266761
2022 06 11 08 00 01.JPG,  23,201.037099,169.429719,141.031308,-3.208969,0.393036,0.331242,0.275722,-0.085318,511.498127,-88.404203
2022 06 11 09 00 00.JPG,  24,203.973852,173.447390,142.893413,0.027516,0.392020,0.333351,0.274629,-0.080882,520.314655,-91.634417
2022 06 11 10 00 00.JPG,  25,197.380876,165.015631,135.646649,-2.996264,0.396313,0.331328,0.272359,-0.089309,498.043155,-91.103208
2022 06 11 11 00 00.JPG,  26,192.736266,160.856188,130.798513,-1.822404,0.397894,0.332079,0.270027,-0.090161,484.390967,-91.995427
2022 06 11 12 00 00.JPG,  27,184.441724,148.569906,114.941858,-2.243770,0.411743,0.331664,0.256593,-0.107719,447.953488,-103.127915
2022 06 11 13 00 01.JPG,  28,190.137876,155.659548,117.810146,3.371073,0.410127,0.335757,0.254116,-0.099707,463.607569,-110.177131
2022 06 11 14 00 00.JPG,  29,195.923598,162.557720,133.480228,-4.288386,0.398250,0.330428,0.271322,-0.093076,491.961546,-91.520862
2022 06 11 15 00 00.JPG,  30,193.712463,159.812057,128.632211,-2.720561,0.401762,0.331453,0.266785,-0.095893,482.156731,-96.260098
2022 06 11 16 00 01.JPG,  31,196.089031,162.449073,132.622446,-3.813331,0.399236,0.330745,0.270019,-0.093825,491.160549,-93.293212
2022 06 11 17 00 00.JPG,  32,190.066172,161.011776,137.649401,-5.692021,0.388900,0.329451,0.281649,-0.082758,488.727349,-75.779145
2022 06 11 18 00 01.JPG,  33,191.832097,158.155313,115.449387,9.029142,0.412155,0.339800,0.248045,-0.096223,465.436797,-119.088635
2022 06 12 05 00 00.JPG,  34,199.149673,159.334213,127.818725,-8.299972,0.409518,0.327644,0.262838,-0.111066,486.302611,-102.846435
2022 06 12 06 00 00.JPG,  35,201.258697,162.474642,126.654376,-2.963790,0.410407,0.331319,0.258274,-0.106628,490.387715,-110.424587
2022 06 12 07 00 01.JPG,  36,200.462061,164.004684,128.999340,-1.452033,0.406233,0.332352,0.261415,-0.100029,493.466085,-106.468066
2022 06 12 08 00 00.JPG,  37,199.570873,162.969675,127.784117,-1.415640,0.407018,0.332371,0.260611,-0.100958,490.324666,-106.972314
2022 06 12 09 00 00.JPG,  38,200.864340,162.316270,125.904158,-2.135957,0.410694,0.331878,0.257428,-0.106140,489.084768,-111.372294
2022 06 12 10 00 01.JPG,  39,200.085432,162.799392,126.117742,-0.604389,0.409171,0.332921,0.257908,-0.102749,489.002566,-110.649341
2022 06 12 11 00 00.JPG,  40,198.386385,162.530967,125.297247,1.378303,0.408022,0.334278,0.257699,-0.099345,486.214598,-110.322858
2022 06 12 12 00 00.JPG,  41,202.787542,161.747936,122.248888,-1.540558,0.416586,0.332278,0.251136,-0.112581,486.784366,-120.037703
2022 06 12 13 00 00.JPG,  42,201.226347,163.775804,125.256310,1.068951,0.410450,0.334060,0.255490,-0.102604,490.258462,-114.489531
2022 06 12 14 00 00.JPG,  43,199.569737,163.057166,123.965870,2.578725,0.410137,0.335100,0.254763,-0.100689,486.592773,-114.695162
2022 06 12 15 00 01.JPG,  44,200.465563,163.768041,121.385953,5.684566,0.412804,0.337235,0.249961,-0.100753,485.619558,-121.461698
