Light,Loc,Src,Rep,Plot,Ind,153,160,166,173,180,187,194,201,210,216,223,236,244,,,,,,,,Average,SD
1,CF,CF,1,CF1,A,57,63,69,78.5,86,78,86.5,92,92,92,86.5,87,73.5,,,,,,,,80.07692308,11.50696556
1,CF,CF,1,CF1,B,54,63.5,74,71.5,76,87,83.5,82.5,86,89,80.5,81.5,64.5,,,,,,,,76.42307692,10.54128027
1,CF,CF,1,CF1,C,40,38.5,52,65,64,70.5,84.5,82.5,75.5,81,82.5,81,72,,,,,,,,68.38461538,15.92319305
1,CF,SG,1,SG1,A,35.5,40,46,46,52,53.5,53.5,55,59.5,58,46.5,21,15,,,,,,,,44.73076923,13.74562868
1,CF,SG,1,SG1,B,26.5,26,25,27,30,29,30.5,35,35.5,36,30.5,18,9,,,,,,,,27.53846154,7.423110137
1,CF,SG,1,SG1,C,28,28.5,29.5,35.5,38.5,40,40.5,45.5,41,40.5,34.5,21.5,13,,,,,,,,33.57692308,9.155704401
0,CF,TL,1,TL1,A,26,29.5,33,41,42.5,47.5,46,50,38,41.5,30.5,24,15,,,,,,,,35.73076923,10.38952875
0,CF,TL,1,TL1,B,53,60,66.5,76.5,97,94,96,99,100,106.5,89,93,63.5,,,,,,,,84.15384615,17.85518671
0,CF,TL,1,TL1,C,30.5,35.5,36,45,57,63,70.5,72.5,77,80,85.5,52.5,33.5,,,,,,,,56.80769231,19.41062688
1,CF,CF,2,CF2,A,47.5,59,68,71,80.5,88,85.5,88.5,86,89,88,83,72,,,,,,,,77.38461538,13.08331292
1,CF,CF,2,CF2,B,42,51,59.5,67,64.5,71,72,71.5,73,77,74.5,61,53.5,,,,,,,,64.42307692,10.52347803
1,CF,CF,2,CF2,C,61.5,66.5,75.5,78,79,92.5,96.5,97,92,100.5,104,93.5,87,,,,,,,,86.42307692,13.23638633
0,CF,SG,2,SG2,A,41.5,44,54,51.5,49.5,54.5,54,52.5,52,47.5,41,14,8,,,,,,,,43.38461538,15.14259149
0,CF,SG,2,SG2,B,41,49,52,64,58,64,62.5,63.5,66.5,43.5,34,16,9.5,,,,,,,,47.96153846,18.69320458
0,CF,SG,2,SG2,C,36.5,40,43,45,49,53.5,56,54.5,48.6,39,33,15,9.5,,,,,,,,40.2,14.30163161
0,CF,TL,2,TL2,A,36.5,42,48,47.5,55.5,57.5,57.5,57.5,52.5,52,44,14.5,15.5,,,,,,,,44.65384615,14.66484546
0,CF,TL,2,TL2,B,37.5,39.5,45,54,57.5,52,54,59.5,54,50,44,27,10,,,,,,,,44.92307692,13.90420523
0,CF,TL,2,TL2,C,33,31,36.5,39.5,41.5,44,45,40.5,33,32,31.5,5,5.5,,,,,,,,32.15384615,12.86530317
0,CF,CF,3,CF3,A,37,40,47,46.5,45.5,51,45.5,53.5,52,53.5,52,41,31,,,,,,,,45.80769231,6.938835342
0,CF,CF,3,CF3,B,44,44.5,47.5,48,21,21,0,16,16,15.5,14.5,9.5,4,,,,,,,,23.19230769,16.91835598
0,CF,CF,3,CF3,C,31,37.5,42.5,47.5,50,59.5,69,76,74,78.5,66.5,50,34.5,,,,,,,,55.11538462,16.50145681
0,CF,SG,3,SG3,A,27.5,30,34,38.5,43,47.5,50.5,55,47,31.5,23,13,13.5,,,,,,,,34.92307692,13.54444252
0,CF,SG,3,SG3,B,44.5,53,61,70,78,86,94,84,86,87,71.5,34,37.5,,,,,,,,68.19230769,20.34958892
0,CF,SG,3,SG3,C,12.5,13.5,18,20.5,22,23.5,25.5,25.5,24.5,23,14,8,8,,,,,,,,18.34615385,6.436823153
0,CF,TL,3,TL3,A,31.5,31.5,37.5,38,40,45,45,44,43,40,35.5,14.5,14,,,,,,,,35.34615385,10.38706049
0,CF,TL,3,TL3,B,37,41,45,53.5,54.5,61,63.5,66,74.5,69,67.5,55.5,33.5,,,,,,,,55.5,13.04958492
0,CF,TL,3,TL3,C,19,21,22,24,25,26.5,29.5,29,34.5,28.5,17,7,5.5,,,,,,,,22.19230769,8.50866828
1,CF,CF,4,CF4,A,23.5,23,24.5,15.5,15,16,17.5,17,18.5,18,20,16.5,13,,,,,,,,18.30769231,3.515077415
1,CF,CF,4,CF4,B,51.5,27,62,69.5,73.5,80.5,83.5,82,77,83,82,54,41,,,,,,,,66.65384615,18.29775102
1,CF,CF,4,CF4,C,40,52,61,62.5,72.5,77.5,86,80,84.5,90,88.5,78.5,54,,,,,,,,71.30769231,15.911917
1,CF,SG,4,SG4,A,42,50.5,49,52,54,55.5,56,53.5,50,45,40,17.5,13,,,,,,,,44.46153846,13.8901367
1,CF,SG,4,SG4,B,25,25.5,26.5,33.5,35.5,37.5,37,41,41,30.5,26.5,19.5,12.5,,,,,,,,30.11538462,8.544378869
1,CF,SG,4,SG4,C,35.5,31.5,33,39,41,43.5,45,44,37.5,38.5,35,16.5,12.5,,,,,,,,34.80769231,9.951001753
0,CF,TL,4,TL4,A,38.5,44.5,45.5,49,49,52.5,57,64.5,47,38.5,35.5,16,10,,,,,,,,42.11538462,15.13708724
0,CF,TL,4,TL4,B,26.5,31.5,35.5,39.5,46.5,51.5,54,56,59,61,51,32.5,20,,,,,,,,43.42307692,13.31797994
0,CF,TL,4,TL4,C,51.5,60,62.5,70.5,75,70.5,70,70.5,70,66.5,50.5,33,18,,,,,,,,59.11538462,16.95478527
1,CF,SG,5,SG5,A,37.5,44.5,45,51.5,56.5,58.5,59,48.5,49,47,30,19,14,,,,,,,,43.07692308,14.30449544
1,CF,SG,5,SG5,B,24,29,29.5,37,42,47,55.5,54.5,52.5,43.5,35.5,23,18.5,,,,,,,,37.80769231,12.50756182
