Shade,OTC,Loc,Src,Rep,Plot,Ind,153,165,172,183,192,202,207,210,215,220,229,234,241,,,,,,,,Average,SD
0,1,TL,CF,1,CF1,A,51,64,84,100,122,131.5,,136,131.5,137.5,,140.5,107,,,,,,,,109.5454545,31.32208051
0,1,TL,CF,1,CF1,B,45.5,64.5,80,106.5,120,133,,139,140.5,145.5,,153,121,,,,,,,,113.5,35.55066807
0,1,TL,CF,1,CF1,C,27,42.5,55,74.5,89,95.5,,95.5,104.5,108.5,,99,75.5,,,,,,,,78.77272727,26.84991959
0,1,TL,SG,1,SG1,A,49.5,58,66,76.5,81.5,77.5,,80.5,90,85,,50,28,,,,,,,,67.5,19.08271469
0,1,TL,SG,1,SG1,B,67.5,71.5,92.5,98.5,115,118,,116,110,112,,54,37.5,,,,,,,,90.22727273,28.19163319
0,1,TL,SG,1,SG1,C,41.5,45,52,61,75.5,83.5,,83.5,82.5,83.5,,74.5,60.5,,,,,,,,67.54545455,16.18557158
0,1,TL,TL,1,TL1,A,18.5,28,38,44.5,49,55,,53,54.5,52,,24.5,13.5,,,,,,,,39.13636364,15.47270324
0,1,TL,TL,1,TL1,B,21,27.5,31.5,37,36,30.5,,31,32,32.5,,26,16.5,,,,,,,,29.22727273,6.145582301
0,1,TL,TL,1,TL1,C,32,40.5,56,63,85.5,88,,89,92.5,88,,78.5,47.5,,,,,,,,69.13636364,22.10213893
0,0,TL,CF,2,CF2,A,30,36.5,54,69,76,73.5,,76.5,80,82.5,,85.5,72,,,,,,,,66.86363636,18.60657264
0,0,TL,CF,2,CF2,B,35,40.5,61.5,76.5,87,92.5,,93,97,99,,88,54,,,,,,,,74.90909091,23.27855041
0,0,TL,CF,2,CF2,C,30,37,48.5,70,78.5,82,,81.5,88,92,84.5,81.5,67.5,,,,,,,,70.08333333,20.57451351
1,0,TL,SG,2,SG2,A,23.5,29,33,34.5,42.5,40,38,39.5,36.5,35.5,,17,11.5,,,,,,,,31.70833333,9.684707564
1,0,TL,SG,2,SG2,B,35,40.5,49,61.5,66.5,60.5,56.5,56,57.5,52,,38,22,,,,,,,,49.58333333,13.12671345
1,0,TL,SG,2,SG2,C,26,32,43,46,53,49.5,42,41.5,38.5,33.5,,16.5,13,,,,,,,,36.20833333,12.51809297
0,0,TL,TL,2,TL2,A,49.5,59.5,82,101.5,110,117,,119.5,124.5,126,,111.5,75,,,,,,,,97.81818182,26.95762668
0,0,TL,TL,2,TL2,B,28,27,35,40,44,44.5,,42,46,47,,36,19,,,,,,,,37.13636364,9.11068304
0,0,TL,TL,2,TL2,C,25.5,31,39,43.5,51,50.5,,55,50.5,50.5,,32,15.5,,,,,,,,40.36363636,12.82203359
0,1,TL,CF,3,CF3,A,40.5,53,63.5,75,94.5,105,,110,114.5,117.5,,115,93.5,,,,,,,,89.27272727,27.16556979
0,1,TL,CF,3,CF3,B,57.5,65,79,101,114.5,115,,127.1,120.5,122,,97,73,,,,,,,,97.41818182,24.92355585
0,1,TL,CF,3,CF3,C,44.5,53,68.5,78.5,104,109.5,,102,105.6,107,,97,85.5,,,,,,,,86.82727273,22.90170696
1,0,TL,SG,3,SG3,A,42,56.5,64,75,90,95.5,90.5,97,97,85,,59.5,22.5,,,,,,,,72.875,24.21130934
1,0,TL,SG,3,SG3,B,32.5,45.5,49.5,56,69.5,78,82,77,78,85,,67,34.5,,,,,,,,62.875,18.65734683
1,0,TL,SG,3,SG3,C,23.5,34.5,41,45,53,52.5,56.5,61.5,59,52,,30,15,,,,,,,,43.625,14.95618601
