Light,Shade,OTC,Loc,Src,Rep,Ind,Plot,fullPlot,DoY,tot_Gr
0,0,1,SG,CF,1,A,CF1,SG-CF-1A,168,38.5
0,0,1,SG,CF,1,A,CF1,SG-CF-1A,175,49
0,0,1,SG,CF,1,A,CF1,SG-CF-1A,185,74
0,0,1,SG,CF,1,A,CF1,SG-CF-1A,199,89.5
0,0,1,SG,CF,1,A,CF1,SG-CF-1A,206,102
0,0,1,SG,CF,1,A,CF1,SG-CF-1A,214,96
0,0,1,SG,CF,1,A,CF1,SG-CF-1A,222,97
0,0,1,SG,CF,1,A,CF1,SG-CF-1A,232,100
0,0,1,SG,CF,1,A,CF1,SG-CF-1A,239,99.5
0,0,1,SG,CF,1,B,CF1,SG-CF-1B,168,45
0,0,1,SG,CF,1,B,CF1,SG-CF-1B,175,69.5
0,0,1,SG,CF,1,B,CF1,SG-CF-1B,185,80
0,0,1,SG,CF,1,B,CF1,SG-CF-1B,199,94
0,0,1,SG,CF,1,B,CF1,SG-CF-1B,206,100.5
0,0,1,SG,CF,1,B,CF1,SG-CF-1B,214,90
0,0,1,SG,CF,1,B,CF1,SG-CF-1B,222,101.5
0,0,1,SG,CF,1,B,CF1,SG-CF-1B,232,98.5
0,0,1,SG,CF,1,B,CF1,SG-CF-1B,239,102
0,0,1,SG,CF,1,C,CF1,SG-CF-1C,168,44.5
0,0,1,SG,CF,1,C,CF1,SG-CF-1C,175,52
0,0,1,SG,CF,1,C,CF1,SG-CF-1C,185,64.5
0,0,1,SG,CF,1,C,CF1,SG-CF-1C,199,77
0,0,1,SG,CF,1,C,CF1,SG-CF-1C,206,85
0,0,1,SG,CF,1,C,CF1,SG-CF-1C,214,93.5
0,0,1,SG,CF,1,C,CF1,SG-CF-1C,222,96
0,0,1,SG,CF,1,C,CF1,SG-CF-1C,232,80
0,0,1,SG,CF,1,C,CF1,SG-CF-1C,239,73
0,0,1,SG,SG,1,A,SG1,SG-SG-1A,168,39
0,0,1,SG,SG,1,A,SG1,SG-SG-1A,175,55
0,0,1,SG,SG,1,A,SG1,SG-SG-1A,185,74
0,0,1,SG,SG,1,A,SG1,SG-SG-1A,199,90.5
0,0,1,SG,SG,1,A,SG1,SG-SG-1A,206,88
0,0,1,SG,SG,1,A,SG1,SG-SG-1A,214,91
0,0,1,SG,SG,1,A,SG1,SG-SG-1A,222,95
0,0,1,SG,SG,1,A,SG1,SG-SG-1A,232,93
0,0,1,SG,SG,1,A,SG1,SG-SG-1A,239,54.5
0,0,1,SG,SG,1,B,SG1,SG-SG-1B,168,31
0,0,1,SG,SG,1,B,SG1,SG-SG-1B,175,42
0,0,1,SG,SG,1,B,SG1,SG-SG-1B,185,45.5
0,0,1,SG,SG,1,B,SG1,SG-SG-1B,199,66
0,0,1,SG,SG,1,B,SG1,SG-SG-1B,206,67
0,0,1,SG,SG,1,B,SG1,SG-SG-1B,214,73.5
0,0,1,SG,SG,1,B,SG1,SG-SG-1B,222,68
0,0,1,SG,SG,1,B,SG1,SG-SG-1B,232,70
0,0,1,SG,SG,1,B,SG1,SG-SG-1B,239,57.5
0,0,1,SG,SG,1,C,SG1,SG-SG-1C,168,41.5
0,0,1,SG,SG,1,C,SG1,SG-SG-1C,175,63
0,0,1,SG,SG,1,C,SG1,SG-SG-1C,185,77
0,0,1,SG,SG,1,C,SG1,SG-SG-1C,199,88.5
0,0,1,SG,SG,1,C,SG1,SG-SG-1C,206,93.5
0,0,1,SG,SG,1,C,SG1,SG-SG-1C,214,99
0,0,1,SG,SG,1,C,SG1,SG-SG-1C,222,82
0,0,1,SG,SG,1,C,SG1,SG-SG-1C,232,79
0,0,1,SG,SG,1,C,SG1,SG-SG-1C,239,67
0,0,1,SG,TL,1,A,TL1,SG-TL-1A,168,28.5
0,0,1,SG,TL,1,A,TL1,SG-TL-1A,175,36.5
0,0,1,SG,TL,1,A,TL1,SG-TL-1A,185,42.5
0,0,1,SG,TL,1,A,TL1,SG-TL-1A,199,48.5
0,0,1,SG,TL,1,A,TL1,SG-TL-1A,206,44
0,0,1,SG,TL,1,A,TL1,SG-TL-1A,214,45.5
0,0,1,SG,TL,1,A,TL1,SG-TL-1A,222,48.5
0,0,1,SG,TL,1,A,TL1,SG-TL-1A,232,41
0,0,1,SG,TL,1,A,TL1,SG-TL-1A,239,20
0,0,1,SG,TL,1,B,TL1,SG-TL-1B,168,34.5
0,0,1,SG,TL,1,B,TL1,SG-TL-1B,175,67.5
0,0,1,SG,TL,1,B,TL1,SG-TL-1B,185,92.5
0,0,1,SG,TL,1,B,TL1,SG-TL-1B,199,107
0,0,1,SG,TL,1,B,TL1,SG-TL-1B,206,105.5
0,0,1,SG,TL,1,B,TL1,SG-TL-1B,214,107.5
0,0,1,SG,TL,1,B,TL1,SG-TL-1B,222,113
0,0,1,SG,TL,1,B,TL1,SG-TL-1B,232,105
0,0,1,SG,TL,1,B,TL1,SG-TL-1B,239,94
0,0,1,SG,TL,1,C,TL1,SG-TL-1C,168,41.5
0,0,1,SG,TL,1,C,TL1,SG-TL-1C,175,48.5
0,0,1,SG,TL,1,C,TL1,SG-TL-1C,185,50
0,0,1,SG,TL,1,C,TL1,SG-TL-1C,199,45.5
0,0,1,SG,TL,1,C,TL1,SG-TL-1C,206,30.5
0,0,1,SG,TL,1,C,TL1,SG-TL-1C,214,22.5
0,0,1,SG,TL,1,C,TL1,SG-TL-1C,222,23
0,0,1,SG,TL,1,C,TL1,SG-TL-1C,232,21
0,0,1,SG,TL,1,C,TL1,SG-TL-1C,239,17
0,0,0,SG,CF,2,A,CF2,SG-CF-2A,168,23
0,0,0,SG,CF,2,A,CF2,SG-CF-2A,175,37.5
0,0,0,SG,CF,2,A,CF2,SG-CF-2A,185,56
0,0,0,SG,CF,2,A,CF2,SG-CF-2A,199,71.5
0,0,0,SG,CF,2,A,CF2,SG-CF-2A,206,61.5
0,0,0,SG,CF,2,A,CF2,SG-CF-2A,214,65
0,0,0,SG,CF,2,A,CF2,SG-CF-2A,222,69.5
0,0,0,SG,CF,2,A,CF2,SG-CF-2A,232,68
0,0,0,SG,CF,2,A,CF2,SG-CF-2A,239,60
0,0,0,SG,CF,2,B,CF2,SG-CF-2B,168,30
0,0,0,SG,CF,2,B,CF2,SG-CF-2B,175,40.5
0,0,0,SG,CF,2,B,CF2,SG-CF-2B,185,59.5
0,0,0,SG,CF,2,B,CF2,SG-CF-2B,199,84
0,0,0,SG,CF,2,B,CF2,SG-CF-2B,206,82.5
0,0,0,SG,CF,2,B,CF2,SG-CF-2B,214,89.5
0,0,0,SG,CF,2,B,CF2,SG-CF-2B,222,87.5
0,0,0,SG,CF,2,B,CF2,SG-CF-2B,232,87.5
0,0,0,SG,CF,2,B,CF2,SG-CF-2B,239,78.5
0,0,0,SG,CF,2,C,CF2,SG-CF-2C,168,32.5
0,0,0,SG,CF,2,C,CF2,SG-CF-2C,175,50.5
0,0,0,SG,CF,2,C,CF2,SG-CF-2C,185,70
0,0,0,SG,CF,2,C,CF2,SG-CF-2C,199,77
0,0,0,SG,CF,2,C,CF2,SG-CF-2C,206,85
0,0,0,SG,CF,2,C,CF2,SG-CF-2C,214,94
0,0,0,SG,CF,2,C,CF2,SG-CF-2C,222,99.5
0,0,0,SG,CF,2,C,CF2,SG-CF-2C,232,88
0,0,0,SG,CF,2,C,CF2,SG-CF-2C,239,80.5
0,0,0,SG,SG,2,A,SG2,SG-SG-2A,168,24
0,0,0,SG,SG,2,A,SG2,SG-SG-2A,175,28.5
0,0,0,SG,SG,2,A,SG2,SG-SG-2A,185,32
0,0,0,SG,SG,2,A,SG2,SG-SG-2A,199,40.5
0,0,0,SG,SG,2,A,SG2,SG-SG-2A,206,43
0,0,0,SG,SG,2,A,SG2,SG-SG-2A,214,43
0,0,0,SG,SG,2,A,SG2,SG-SG-2A,222,37.5
0,0,0,SG,SG,2,A,SG2,SG-SG-2A,232,31
0,0,0,SG,SG,2,A,SG2,SG-SG-2A,239,21.5
0,0,0,SG,SG,2,B,SG2,SG-SG-2B,168,31
0,0,0,SG,SG,2,B,SG2,SG-SG-2B,175,49.5
0,0,0,SG,SG,2,B,SG2,SG-SG-2B,185,64
0,0,0,SG,SG,2,B,SG2,SG-SG-2B,199,65
0,0,0,SG,SG,2,B,SG2,SG-SG-2B,206,58.5
0,0,0,SG,SG,2,B,SG2,SG-SG-2B,214,62
0,0,0,SG,SG,2,B,SG2,SG-SG-2B,222,58
0,0,0,SG,SG,2,B,SG2,SG-SG-2B,232,66
0,0,0,SG,SG,2,B,SG2,SG-SG-2B,239,51.5
0,0,0,SG,SG,2,C,SG2,SG-SG-2C,168,30.5
0,0,0,SG,SG,2,C,SG2,SG-SG-2C,175,42
0,0,0,SG,SG,2,C,SG2,SG-SG-2C,185,58
0,0,0,SG,SG,2,C,SG2,SG-SG-2C,199,68
0,0,0,SG,SG,2,C,SG2,SG-SG-2C,206,67.5
