Camera,CreateDate,FileSize
CF-CF-3,2022 06 20 16 00 00,5201977
CF-CF-3,2022 07 19 05 00 00,5223175
CF-CF-3,2022 07 19 06 00 01,5193146
CF-CF-3,2022 07 22 05 00 00,1981672
CF-CF-3,2022 07 22 06 00 01,3619462
CF-CF-3,2022 07 26 05 00 01,4933767
CF-CF-3,2022 07 26 06 00 00,4930715
CF-CF-3,2022 08 02 05 00 00,2272177
CF-CF-3,2022 08 03 05 00 01,2047477
CF-CF-3,2022 08 03 06 00 00,3176945
CF-CF-3,2022 08 04 05 00 00,2227313
CF-CF-3,2022 08 05 05 00 01,4267512
CF-CF-3,2022 08 08 05 00 00,4956970
CF-CF-3,2022 08 11 05 00 00,2212281
CF-CF-3,2022 08 11 06 00 01,4240448
CF-CF-3,2022 08 12 05 00 00,2433257
CF-CF-3,2022 08 12 06 00 00,4722747
CF-CF-3,2022 08 13 05 00 00,2576364
CF-CF-3,2022 08 13 06 00 01,2865366
CF-CF-3,2022 08 15 05 00 00,4008754
CF-CF-3,2022 08 16 05 00 00,2782013
CF-CF-3,2022 08 18 05 00 00,1990027
CF-CF-3,2022 08 18 06 00 01,1998723
CF-CF-3,2022 08 18 07 00 00,2515307
CF-CF-3,2022 08 19 05 00 01,3507031
CF-CF-3,2022 08 19 06 00 00,4130469
CF-CF-3,2022 08 20 05 00 00,1987974
CF-CF-3,2022 08 20 06 00 00,2120067
CF-CF-3,2022 08 23 05 00 00,3535817
CF-CF-3,2022 08 23 06 00 01,3412087
CF-CF-3,2022 08 23 07 00 00,5289865
CF-CF-3,2022 08 24 05 00 01,2030324
CF-CF-3,2022 08 24 06 00 00,1971868
CF-CF-3,2022 08 24 07 00 00,3081572
CF-CF-3,2022 08 25 05 00 00,1754214
CF-CF-3,2022 08 25 06 00 01,2466850
CF-CF-3,2022 08 25 07 00 00,3005398
CF-CF-3,2022 08 26 05 00 01,5257332
CF-CF-3,2022 08 26 06 00 00,5096830
CF-CF-3,2022 08 27 05 00 00,2053241
CF-CF-3,2022 08 27 06 00 00,2092279
CF-CF-3,2022 08 30 05 00 01,3532881
CF-CF-3,2022 08 30 06 00 00,2679061
CF-CF-3,2022 08 31 05 00 00,1824807
CF-CF-3,2022 08 31 06 00 00,2109796
CF-CF-3,2022 08 31 07 00 01,2073210
CF-CF-3,2022 08 31 08 00 00,2493053
CF-CF-3,2022 09 01 05 00 00,2814376
CF-CF-4,2022 08 09 07 00 00,5309061
CF-CF-6,2022 07 22 05 00 00,1970943
CF-CF-6,2022 08 02 05 00 01,2284547
CF-CF-6,2022 08 03 05 00 00,2234517
CF-CF-6,2022 08 04 05 00 00,2573875
CF-CF-6,2022 08 11 05 00 01,2039353
CF-CF-6,2022 08 11 11 00 08,5172816
CF-CF-6,2022 08 12 05 00 00,2488908
CF-CF-6,2022 08 12 06 00 01,3709807
CF-CF-6,2022 08 13 05 00 00,3510115
CF-CF-6,2022 08 13 06 00 01,4756691
CF-CF-6,2022 08 16 05 00 00,4023169
CF-CF-6,2022 08 18 05 00 01,2024511
CF-CF-6,2022 08 18 06 00 00,2019034
CF-CF-6,2022 08 18 07 00 00,2325599
CF-CF-6,2022 08 19 05 00 00,5130123
CF-CF-6,2022 08 20 05 00 00,1944852
CF-CF-6,2022 08 20 06 00 00,2025842
CF-CF-6,2022 08 23 05 00 01,4376413
CF-CF-6,2022 08 23 06 00 00,4123190
CF-CF-6,2022 08 24 05 00 01,1984729
CF-CF-6,2022 08 24 06 00 00,1955750
CF-CF-6,2022 08 24 07 00 01,3335700
CF-CF-6,2022 08 24 18 13 56,5124194
CF-CF-6,2022 08 25 05 00 01,1778548
CF-CF-6,2022 08 25 06 00 00,2350464
CF-CF-6,2022 08 25 07 00 01,3803307
CF-CF-6,2022 08 26 05 00 00,5070467
CF-CF-6,2022 08 27 05 00 00,2147234
CF-CF-6,2022 08 27 06 00 01,2145700
CF-CF-6,2022 08 30 05 00 01,4211317
CF-CF-6,2022 08 30 06 00 00,3311222
CF-CF-6,2022 08 31 05 00 00,1966282
CF-CF-6,2022 08 31 06 00 00,2320533
CF-CF-6,2022 08 31 07 00 01,2279884
CF-CF-6,2022 08 31 08 00 00,2604428
CF-CF-6,2022 09 01 05 00 00,4706102
CF-CF-9,2022 06 29 11 00 00,4481643
CF-CF-9,2022 07 22 05 00 00,2065603
CF-CF-9,2022 07 26 18 00 01,4429366
CF-CF-9,2022 07 29 11 00 01,4548212
CF-CF-9,2022 08 02 05 00 00,1987678
CF-CF-9,2022 08 03 05 00 00,2045128
CF-CF-9,2022 08 03 06 00 01,3542587
CF-CF-9,2022 08 04 05 00 01,2574808
CF-CF-9,2022 08 05 05 00 01,3705660
CF-CF-9,2022 08 08 05 00 00,4816187
CF-CF-9,2022 08 11 05 00 00,2248866
CF-CF-9,2022 08 11 06 00 01,2362129
CF-CF-9,2022 08 12 05 00 00,3040371
CF-CF-9,2022 08 12 06 00 00,2873125
CF-CF-9,2022 08 13 05 00 01,2561215
CF-CF-9,2022 08 13 06 00 00,2482839
CF-CF-9,2022 08 13 07 00 00,2618633
CF-CF-9,2022 08 15 05 00 00,3675342
CF-CF-9,2022 08 16 05 00 00,4359798
CF-CF-9,2022 08 18 05 00 00,2000985
CF-CF-9,2022 08 18 06 00 00,1966239
